datetime,temperature_2m_c,date,year,month,day,hour,day_of_year,weekday
2015-01-01 00:00:00,27.20,2015-01-01,2015,1,1,0,1,Thursday
2015-01-01 01:00:00,27.00,2015-01-01,2015,1,1,1,1,Thursday
2015-01-01 02:00:00,26.60,2015-01-01,2015,1,1,2,1,Thursday
2015-01-01 03:00:00,26.30,2015-01-01,2015,1,1,3,1,Thursday
2015-01-01 04:00:00,25.90,2015-01-01,2015,1,1,4,1,Thursday
2015-01-01 05:00:00,26.30,2015-01-01,2015,1,1,5,1,Thursday
2015-01-01 06:00:00,26.30,2015-01-01,2015,1,1,6,1,Thursday
2015-01-01 07:00:00,28.20,2015-01-01,2015,1,1,7,1,Thursday
2015-01-01 08:00:00,30.50,2015-01-01,2015,1,1,8,1,Thursday
2015-01-01 09:00:00,32.60,2015-01-01,2015,1,1,9,1,Thursday
2015-01-01 10:00:00,34.30,2015-01-01,2015,1,1,10,1,Thursday
2015-01-01 11:00:00,35.70,2015-01-01,2015,1,1,11,1,Thursday
2015-01-01 12:00:00,36.80,2015-01-01,2015,1,1,12,1,Thursday
2015-01-01 13:00:00,37.30,2015-01-01,2015,1,1,13,1,Thursday
2015-01-01 14:00:00,37.50,2015-01-01,2015,1,1,14,1,Thursday
2015-01-01 15:00:00,36.50,2015-01-01,2015,1,1,15,1,Thursday
2015-01-01 16:00:00,36.60,2015-01-01,2015,1,1,16,1,Thursday
2015-01-01 17:00:00,35.80,2015-01-01,2015,1,1,17,1,Thursday
2015-01-01 18:00:00,34.60,2015-01-01,2015,1,1,18,1,Thursday
2015-01-01 19:00:00,33.10,2015-01-01,2015,1,1,19,1,Thursday
2015-01-01 20:00:00,32.00,2015-01-01,2015,1,1,20,1,Thursday
2015-01-01 21:00:00,30.90,2015-01-01,2015,1,1,21,1,Thursday
2015-01-01 22:00:00,30.20,2015-01-01,2015,1,1,22,1,Thursday
2015-01-01 23:00:00,29.80,2015-01-01,2015,1,1,23,1,Thursday
2015-01-02 00:00:00,28.90,2015-01-02,2015,1,2,0,2,Friday
