temperature_2m_c,date,year,month,day_of_year
29.45,2015-01-01,2015,1,1
27.45,2015-02-01,2015,2,32
25.83,2015-03-01,2015,3,60
23.98,2015-04-01,2015,4,91
22.05,2015-05-01,2015,5,121
21.53,2015-06-01,2015,6,152
21.84,2015-07-01,2015,7,182
22.45,2015-08-01,2015,8,213
23.65,2015-09-01,2015,9,244
25.03,2015-10-01,2015,10,274
25.43,2015-11-01,2015,11,305
27.19,2015-12-01,2015,12,335
26.18,2016-01-01,2016,1,1
28.02,2016-02-01,2016,2,32
26.57,2016-03-01,2016,3,61
26.45,2016-04-01,2016,4,92
22.02,2016-05-01,2016,5,122
19.62,2016-06-01,2016,6,153
20.76,2016-07-01,2016,7,183
21.67,2016-08-01,2016,8,214
22.64,2016-09-01,2016,9,245
23.26,2016-10-01,2016,10,275
23.76,2016-11-01,2016,11,306
26.64,2016-12-01,2016,12,336
27.90,2017-01-01,2017,1,1
27.64,2017-02-01,2017,2,32
25.69,2017-03-01,2017,3,60
23.84,2017-04-01,2017,4,91
21.87,2017-05-01,2017,5,121
21.20,2017-06-01,2017,6,152
20.08,2017-07-01,2017,7,182
20.38,2017-08-01,2017,8,213
22.02,2017-09-01,2017,9,244
23.54,2017-10-01,2017,10,274
23.77,2017-11-01,2017,11,305
25.09,2017-12-01,2017,12,335
26.38,2018-01-01,2018,1,1
25.77,2018-02-01,2018,2,32
26.38,2018-03-01,2018,3,60
24.26,2018-04-01,2018,4,91
22.14,2018-05-01,2018,5,121
21.72,2018-06-01,2018,6,152
21.42,2018-07-01,2018,7,182
20.48,2018-08-01,2018,8,213
22.18,2018-09-01,2018,9,244
23.11,2018-10-01,2018,10,274
24.07,2018-11-01,2018,11,305
25.53,2018-12-01,2018,12,335
28.18,2019-01-01,2019,1,1
26.68,2019-02-01,2019,2,32
26.30,2019-03-01,2019,3,60
25.42,2019-04-01,2019,4,91
23.97,2019-05-01,2019,5,121
22.59,2019-06-01,2019,6,152
21.01,2019-07-01,2019,7,182
20.70,2019-08-01,2019,8,213
21.82,2019-09-01,2019,9,244
23.43,2019-10-01,2019,10,274
23.47,2019-11-01,2019,11,305
24.78,2019-12-01,2019,12,335
26.17,2020-01-01,2020,1,1
25.68,2020-02-01,2020,2,32
24.42,2020-03-01,2020,3,61
23.34,2020-04-01,2020,4,92
21.62,2020-05-01,2020,5,122
22.34,2020-06-01,2020,6,153
21.78,2020-07-01,2020,7,183
20.99,2020-08-01,2020,8,214
23.29,2020-09-01,2020,9,245
23.54,2020-10-01,2020,10,275
23.18,2020-11-01,2020,11,306
25.34,2020-12-01,2020,12,336
26.64,2021-01-01,2021,1,1
25.50,2021-02-01,2021,2,32
26.17,2021-03-01,2021,3,60
23.20,2021-04-01,2021,4,91
22.11,2021-05-01,2021,5,121
21.04,2021-06-01,2021,6,152
19.57,2021-07-01,2021,7,182
21.07,2021-08-01,2021,8,213
22.29,2021-09-01,2021,9,244
21.89,2021-10-01,2021,10,274
22.33,2021-11-01,2021,11,305
24.00,2021-12-01,2021,12,335
25.94,2022-01-01,2022,1,1
25.45,2022-02-01,2022,2,32
26.32,2022-03-01,2022,3,60
23.95,2022-04-01,2022,4,91
21.94,2022-05-01,2022,5,121
20.40,2022-06-01,2022,6,152
21.53,2022-07-01,2022,7,182
20.69,2022-08-01,2022,8,213
20.46,2022-09-01,2022,9,244
23.19,2022-10-01,2022,10,274
22.69,2022-11-01,2022,11,305
24.32,2022-12-01,2022,12,335
25.50,2023-01-01,2023,1,1
26.63,2023-02-01,2023,2,32
26.08,2023-03-01,2023,3,60
23.76,2023-04-01,2023,4,91
21.96,2023-05-01,2023,5,121
21.22,2023-06-01,2023,6,152
21.13,2023-07-01,2023,7,182
22.09,2023-08-01,2023,8,213
23.92,2023-09-01,2023,9,244
23.92,2023-10-01,2023,10,274
25.77,2023-11-01,2023,11,305
26.23,2023-12-01,2023,12,335
26.50,2024-01-01,2024,1,1
27.12,2024-02-01,2024,2,32
26.26,2024-03-01,2024,3,61
24.89,2024-04-01,2024,4,92
24.77,2024-05-01,2024,5,122
23.42,2024-06-01,2024,6,153
21.30,2024-07-01,2024,7,183
21.55,2024-08-01,2024,8,214
24.08,2024-09-01,2024,9,245
23.34,2024-10-01,2024,10,275
24.11,2024-11-01,2024,11,306
25.33,2024-12-01,2024,12,336
